<HTML>
<HEAD><TITLE>OMNIWeb Results</TITLE></HEAD>
<BODY>
<center><font size=5 color=red>OMNIWeb Plus Browser Results </font></center><br>
<B>Listing for omni_min data from 1981010100 to 1981123123</B><hr><pre>Selected parameters:
 1 Day
 2 Hour
 3 Minute
 4 ID for IMF spacecraft
 5 ID for SW Plasma spacecraft
 6 # of points in IMF averages 
 7 # of points in Plasma averages
 8 Percent of Interpolation
 9 Timeshift
10 RMS, Timeshift
11 RMS Min_var
12 Time btwn observations,sec
13 Field magnitude average, nT
14 BX, nT (GSE, GSM)
15 BY, nT (GSE)
16 BZ, nT (GSE)
17 BY, nT (GSM)
18 BZ, nT (GSM)
19 RMS SD B scalar, nT
20 RMS SD field vector, nT
21 Speed, km/s
22 Vx Velocity,km/s
23 Vy Velocity, km/s
24 Vz Velocity, km/s
25 Proton Density, n/cc
26 Proton Temperature, K
27 Flow pressure, nPa
28 Electric field, mV/m 
29 Plasma beta
30 Alfven mach number
31 S/C, Xgse,Re
32 S/C, Ygse,Re
33 S/c, Zgse,Re
34 BSN location, Xgse,Re
35 BSN location, Ygse,Re
36 BSN location, Zgse,Re
37 AE-index, nT

YYYY DOY HR MN  1   2  3  4  5  6   7   8      9     10    11     12      13      14      15      16      17      18      19      20      21      22      23      24     25       26    27     28     29    30      31      32      33      34      35      36    37 
1981  36  6  5  36  6  5 50 50   1   1 100    179      0  0.00     12    6.19   -1.90    0.93   -5.79    2.28   -5.40    0.00    0.00   397.7  -396.0   -29.1    22.9   7.38   73545.  2.33   2.15   1.62   8.7   -4.46  -37.85   -5.30   12.06   -0.05   -0.62   376
1981  36  6  7  36  6  7 50 50   1   1 100    291      0  0.00      0    6.16   -1.37    1.22   -5.86    2.57   -5.40    0.00    0.00   396.6  -395.6   -24.9    11.8   6.20   49292.  1.95   2.14   1.21   8.0   -4.46  -37.85   -5.30   12.37   -0.16   -0.36   345
1981  36  6 13  36  6 13 50 50  15   1  67    108    162  0.16   -105    6.49    0.54    2.23   -6.04    3.57   -5.36    0.09    0.55   381.0  -380.6   -16.6    -6.6   6.03   41858.  1.75   2.04   1.01   7.2   -4.39  -37.87   -5.35   12.52   -0.36   -0.07   352
1981  36  6 14  36  6 14 50 50  13   3  54    130    153  0.18     37    6.52    0.92    2.40   -5.97    3.71   -5.25    0.04    0.53   380.8  -380.3   -17.6    -1.2   6.07   40971.  1.76   2.00   1.01   7.2   -4.39  -37.86   -5.35   12.55   -0.38   -0.05   334
1981  36  6 15  36  6 15 50 50  10   2  50    266    247  0.23    -75    6.51    1.22    2.51   -5.84    3.79   -5.11    0.09    0.60   381.4  -380.9   -19.5    -0.4   6.21   41457.  1.81   1.95   1.04   7.3   -4.34  -37.88   -5.38   12.59   -0.36   -0.03   326
1981  36  6 16  36  6 16 50 50   6   1  50    273    234  0.23     53    6.44    0.92    2.11   -5.95    3.42   -5.31    0.14    0.84   383.3  -382.8   -19.4     2.7   6.28   38842.  1.85   2.04   1.05   7.5   -4.34  -37.88   -5.38   12.57   -0.36   -0.10   326
1981  36  6 17  36  6 17 50 50  13   2  31    103    252  0.23    229    6.58    1.31    1.84   -6.16    3.20   -5.58    0.16    0.51   377.7  -377.0   -20.0    10.0   6.14   53476.  1.75   2.11   1.07   7.1   -4.36  -37.87   -5.37   12.53   -0.32   -0.15   326
1981  36  6 18  36  6 18 50 50   9   2  44    183    397  0.36    -19    6.42    0.72    1.29   -6.07    2.64   -5.62    0.16    1.38   382.3  -381.5   -20.0   -12.6   6.47   52671.  1.89   2.15   1.18   7.6   -4.30  -37.88   -5.41   12.47   -0.33    0.06   329
1981  36  6 19  36  6 19 50 50   9   1  22     96    348  0.31    147    6.40    0.11    0.66   -6.13    2.03   -5.82    0.07    1.61   383.3  -382.8   -20.1    -1.3   6.70   47111.  1.97   2.23   1.19   7.8   -4.30  -37.88   -5.41   12.41   -0.32    0.02   345
1981  36  6 20  36  6 20 50 50   9   1  22    202    426  0.35    -45    6.42    0.04    0.91   -6.15    2.27   -5.79    0.07    1.56   383.8  -383.3   -19.4     2.7   5.86   45329.  1.73   2.22   1.03   7.2   -4.44  -37.86   -5.31   12.41   -0.31    0.04   354
1981  36  6 22  36  6 22 50 50   5   1  40    284    494  0.38    135    6.42    0.46    1.35   -6.07    2.68   -5.61    0.04    1.49   382.4  -381.7   -22.0     8.7   6.87   47834.  2.01   2.15   1.22   7.8   -4.28  -37.89   -5.42   12.39   -0.29   -0.21   348
1981  36  6 24  36  6 24 50 50   4   1  25    342    521  0.36    247    6.39    0.37    1.34   -6.09    2.66   -5.64    0.05    1.36   381.7  -381.1   -21.3     0.7   6.87   41858.  2.00   2.15   1.19   7.8   -4.27  -37.89   -5.43   12.38   -0.29   -0.07   354
1981  36  6 27  36  6 27 50 50   8   1  88   -109     12  0.02    287    6.42    0.45   -0.15   -6.39    1.26   -6.27    0.06    0.21   380.7  -380.0   -22.6     4.0   6.96   38186.  2.02   2.39   1.17   7.8   -4.22  -37.90   -5.46   12.20   -0.23   -0.12   375
1981  36  6 28  36  6 28 50 50   7   2  14   -136      6  0.01     87    6.39    0.34   -0.38   -6.36    1.02   -6.29    0.04    0.19   382.0  -381.2   -24.0     4.7   7.21   54450.  2.10   2.40   1.34   8.0   -4.22  -37.90   -5.47   12.16   -0.20   -0.09   371
1981  36  6 29  36  6 29 50 50   4   1   0   -143      1  0.00     67    6.48    0.16   -0.08   -6.45    1.33   -6.31    0.03    0.41   383.0  -382.3   -23.4     0.0   6.96   41858.  2.04   2.42   1.17   7.8   -4.21  -37.90   -5.48   12.17   -0.19    0.05   365
1981  36  6 30  36  6 30 50 50   6   2   0   -141      4  0.01     57    6.55   -0.34   -0.46   -6.51    0.97   -6.45    0.04    0.25   382.4  -381.6   -24.7    -4.0   7.04   45677.  2.06   2.47   1.19   7.7   -4.20  -37.90   -5.48   12.17   -0.19    0.11   364
1981  36  6 31  36  6 31 50 50   4   1   0   -145      1  0.00     64    6.34   -0.49   -0.07   -6.32    1.30   -6.19    0.02    0.07   383.7  -383.0   -22.8    -2.7   6.87   45329.  2.02   2.38   1.23   7.9   -4.19  -37.90   -5.49   12.18   -0.22    0.09   362
1981  36  6 32  36  6 32 50 50  12   3  33   -201     46  0.08    115    6.40   -0.13   -0.50   -6.33    0.88   -6.29    0.11    0.77   383.3  -382.6   -22.6    -2.2   7.10   42502.  2.09   2.41   1.23   8.0   -4.17  -37.91   -5.50   12.14   -0.22    0.00   370
1981  36  6 33  36  6 33 50 50   8   2  13   -238     51  0.09     97    6.51   -0.20   -1.45   -6.25   -0.07   -6.42    0.17    1.07   385.3  -384.6   -23.1     1.3   7.26   52866.  2.16   2.47   1.29   8.0   -4.17  -37.91   -5.50   12.25   -0.13    0.03   378
1981  36  6 34  36  6 34 50 50   4   1   0   -261      2  0.01     82    6.59   -0.20   -2.40   -6.12   -1.03   -6.49    0.05    0.16   382.1  -381.0   -28.0    -7.3   6.37   42541.  1.86   2.48   1.04   7.3   -4.14  -37.91   -5.52   12.39   -0.09    0.23   387
1981  36  6 35  36  6 35 50 50   3   1   0   -242      6  0.02     41    6.46   -0.29   -2.25   -6.04   -0.91   -6.38    0.10    0.11   383.1  -382.2   -25.4    -7.4   6.87   43577.  2.02   2.44   1.18   7.8   -4.13  -37.92   -5.53   12.27   -0.14    0.22   387
1981  36  6 36  36  6 36 50 50   4   1  75   -225      0  0.00     43    6.41   -0.23   -1.86   -6.12   -0.52   -6.38    0.02    0.34   383.0  -382.4   -20.7     2.7   7.29   59259.  2.14   2.44   1.38   8.1   -4.12  -37.92   -5.53   12.18   -0.24    0.02   390
1981  36  6 37  36  6 37 50 50   5   1 100   -227      0  0.00     61    6.34   -0.29   -2.65   -5.67   -1.39   -6.10    0.02    0.51   383.0  -382.4   -20.7     2.7   7.29   59259.  2.14   2.34   1.42   8.2   -4.12  -37.92   -5.53   12.19   -0.24    0.02   384
1981  36  6 38  36  6 38 50 50   5   1 100   -229      0  0.00     61    6.24   -0.29   -3.12   -5.37   -1.92   -5.91    0.07    0.36   381.3  -380.4   -25.3    -6.7   7.46   41178.  2.17   2.25   1.35   8.3   -4.10  -37.92   -5.55   12.22   -0.17    0.17   392
1981  36  6 39  36  6 39 50 50   5   1 100   -230      1  0.00     60    6.24   -0.36   -3.16   -5.26   -1.98   -5.81    0.03    0.83   381.3  -380.4   -25.3    -6.7   7.46   41178.  2.17   2.22   1.35   8.3   -4.10  -37.92   -5.55   12.23   -0.15    0.22   385
1981  36  7  0  36  7  0 50 50   5   1 100   -233      0  0.00     61    6.61    0.12   -2.01   -6.28   -0.76   -6.55    0.06    0.17   382.5  -381.6   -22.7   -13.3   6.62   40170.  1.94   2.51   1.06   7.4   -3.91  -37.95   -5.67   12.30   -0.23    0.33   406
1981  36  7  1  36  7  1 50 50   5   1 100   -233      0  0.00     60    6.67    0.05   -2.07   -6.33   -0.81   -6.61    0.02    0.14   382.7  -382.0   -22.7     0.0   6.87   35297.  2.01   2.53   1.05   7.5   -3.90  -37.95   -5.68   12.26   -0.24    0.12   423
1981  36  7  2  36  7  2 50 50   5   1 100   -235      0  0.00     61    6.70    0.08   -2.05   -6.38   -0.79   -6.65    0.01    0.08   381.9  -381.1   -21.3   -13.3   6.54   34669.  1.91   2.54   0.99   7.3   -3.89  -37.95   -5.68   12.32   -0.25    0.28   421
1981  36  7  3  36  7  3 50 50   5   1 100   -236      0  0.00     60    6.70    0.23   -2.09   -6.36   -0.84   -6.64    0.02    0.08   381.5  -380.7   -24.0     4.0   6.79   29539.  1.98   2.53   0.99   7.4   -3.88  -37.95   -5.69   12.26   -0.19   -0.11   406
1981  36  7  5  36  7  5 50 50   5   1 100   -236      0  0.00     60    6.70    0.02   -2.32   -6.28   -1.09   -6.61    0.00    0.14   382.1  -381.4   -23.3     4.0   6.96   29539.  2.03   2.53   1.02   7.5   -3.86  -37.96   -5.71   12.23   -0.21   -0.12   439
1981  36  7  6  36  7  6 50 50   6   2  67   -238      0  0.00     61    6.73    0.05   -2.40   -6.27   -1.17   -6.61    0.03    0.23   381.3  -380.6   -22.6    -8.0   6.80   32056.  1.98   2.52   1.00   7.4   -3.85  -37.96   -5.71   12.26   -0.23    0.13   445
1981  36  7  7  36  7  7 50 50   7   3   0   -258     29  0.05     79    6.72    0.22   -2.23   -6.34   -1.00   -6.65    0.07    0.12   381.7  -381.1   -20.6     4.5   7.04   41029.  2.05   2.54   1.10   7.5   -3.85  -37.96   -5.71   12.21   -0.27   -0.10   436
1981  36  7  8  36  7  8 50 50   6   1   0   -268     37  0.06     70    6.71    0.06   -2.17   -6.34   -0.94   -6.63    0.02    0.17   381.6  -380.9   -22.6     4.0   6.96   35297.  2.03   2.53   1.05   7.5   -3.84  -37.96   -5.72   12.20   -0.24    0.08   423
1981  36  7  9  36  7  9 50 50   3   1   0   -265     50  0.09     57    6.65   -0.12   -2.29   -6.23   -1.09   -6.55    0.05    0.24   381.6  -380.7   -22.0   -13.3   7.04   36248.  2.05   2.50   1.09   7.6   -3.83  -37.96   -5.73   12.19   -0.26    0.30   432
1981  36  7 13  36  7 13 50 50   4   1   0   -167      7  0.01     49    6.62   -0.28   -2.46   -6.14   -1.29   -6.49    0.01    0.10   379.3  -378.7   -19.2     7.9   7.54   40170.  2.17   2.46   1.21   7.9   -3.80  -37.97   -5.74   12.11   -0.34   -0.21   417
1981  36  7 14  36  7 14 50 50   7   1   0   -183     20  0.04     75    6.64   -0.38   -2.57   -6.10   -1.41   -6.47    0.04    0.28   379.3  -378.7   -19.2     7.9   7.54   40170.  2.17   2.45   1.20   7.8   -3.80  -37.97   -5.74   12.10   -0.42   -0.29   449
1981  36  7 15  36  7 15 50 50   5   1   0   -192      7  0.01     69    5.31   -0.14    2.78   -0.47    2.82    0.04    0.64    4.33   383.3  -383.0   -10.7    11.4   7.38   62903.  2.17  -0.02   2.08   9.8   -3.78  -37.97   -5.76   12.77   -0.57   -0.35   461
1981  36  7 16  36  7 16 50 50   5   2   0   -207      2  0.00     75    5.90   -0.15    5.00    2.54    4.46    3.41    0.13    1.73   383.3  -383.0   -10.7    11.4   7.38   62890.  2.17  -1.31   1.69   8.8   -3.78  -37.97   -5.76   13.13   -0.65   -0.07   449
1981  36  7 17  36  7 17 50 50   4   1   0   -201      3  0.00     53    6.24    0.33    5.77   -1.85    6.01   -0.78    0.09    0.76   376.0  -375.6   -11.1   -12.5   7.21   47471.  2.04   0.29   1.35   8.1   -3.77  -37.97   -5.77   12.86   -0.78    0.43   422
1981  36  7 18  36  7 18 50 50   5   1   0   -197      0  0.01     56    6.03   -0.15    5.12    2.03    4.67    2.92    0.04    2.22   388.5  -388.2     3.4   -13.6   6.96   33122.  2.10  -1.13   1.29   8.5   -3.76  -37.97   -5.77   13.12   -0.90    0.07   435
1981  36  7 19  36  7 19 50 50   5   1   0   -197      1  0.09     60    6.18    1.22    3.70    4.57    2.82    5.16    0.10    1.04   387.4  -386.3   -16.9    23.7   6.87   49292.  2.06  -2.00   1.33   8.2   -3.75  -37.98   -5.78   13.22   -0.46   -0.79   480
1981  36  7 27  36  7 27 50 50   6   1  67   -219      6  0.03     60    5.82    1.31    5.60    0.54    5.42    1.50    0.17    0.43   380.4  -380.2    -4.0    11.3   7.46   47111.  2.16  -0.57   1.61   8.9   -3.66  -37.99   -5.84   13.04   -0.86   -0.41   505
1981  36  7 28  36  7 28 50 50   4   1   0   -214      3  0.01     54    5.48    0.96    5.30   -0.29    5.27    0.63    0.06    0.75   380.4  -380.2    -4.0    11.3   7.46   47111.  2.16  -0.24   1.81   9.5   -3.66  -37.99   -5.84   12.95   -0.80   -0.39   479
1981  36  7 29  36  7 29 50 50   6   1   0   -212      4  0.03     58    5.11    1.52    4.65    0.68    4.46    1.47    0.09    1.05   378.8  -378.2   -17.2    11.2   7.46   53027.  2.14  -0.56   2.16  10.1   -3.64  -37.99   -5.86   13.00   -0.57   -0.39   467
1981  36  7 30  36  7 30 50 50   5   1   0   -219      1  0.02     67    4.71    0.44    4.56    0.24    4.45    1.02    0.09    0.90   378.8  -378.2   -17.2    11.2   7.46   53027.  2.14  -0.39   2.54  11.0   -3.64  -37.99   -5.86   13.01   -0.45   -0.37   455
1981  36  7 37  36  7 37 50 50   4   1   0   -238      1  0.01     41    5.40    0.14    3.54   -3.35    4.05   -2.71    0.18    2.26   381.2  -381.0    -9.3     6.7   6.96   40170.  2.02   1.03   1.67   9.3   -3.57  -38.00   -5.90   12.65   -0.68   -0.29   468
1981  36  7 38  36  7 38 50 50   7   2   0   -248      6  0.01     70    5.40   -0.18   -0.25   -5.26    0.63   -5.23    0.07    0.97   380.7  -380.4    -9.8    12.0   6.78   49301.  1.97   1.99   1.72   9.2   -3.57  -38.00   -5.90   12.39   -0.55   -0.14   482
1981  36  7 39  36  7 39 50 50   5   2   0   -262      3  0.03     73    5.65    0.19   -0.13   -5.61    0.80   -5.55    0.05    0.33   382.3  -381.9   -16.2     6.2   7.15   41199.  2.09   2.12   1.58   9.0   -3.55  -38.00   -5.92   12.25   -0.43   -0.08   488
1981  36  7 40  36  7 40 50 50   3   1   0   -254      3  0.01     52    5.79   -0.42   -1.42   -5.57   -0.48   -5.73    0.14    0.48   382.2  -381.8   -16.0     8.0   7.21   41517.  2.11   2.19   1.52   8.9   -3.55  -38.00   -5.92   12.21   -0.36   -0.31   491
1981  36  7 41  36  7 41 50 50   3   1   0   -238      4  0.01     44    6.11   -0.38   -1.83   -5.81   -0.85   -6.03    0.03    0.10   383.9  -383.2   -20.8    11.4   7.13   26977.  2.10   2.31   1.23   8.4   -3.54  -38.00   -5.92   12.19   -0.30   -0.34   483
1981  36  7 42  36  7 42 50 50   3   1   0   -211      7  0.01     32    6.20   -0.18   -1.46   -5.99   -0.46   -6.15    0.02    0.38   383.1  -382.6   -18.7     7.4   7.04   33737.  2.07   2.36   1.24   8.2   -3.53  -38.01   -5.93   12.18   -0.33   -0.28   464
1981  36  7 43  36  7 43 50 50   3   1   0   -181      8  0.01     30    6.17   -0.16   -1.88   -5.87   -0.90   -6.10    0.06    0.13   383.1  -382.6   -18.7     7.4   7.04   33737.  2.07   2.34   1.25   8.2   -3.53  -38.01   -5.93   12.21   -0.36   -0.21   428
1981  36  7 44  36  7 44 50 50   3   1   0   -152      7  0.01     30    6.14   -0.22   -1.43   -5.90   -0.45   -6.05    0.06    0.43   384.9  -384.5   -18.1     3.4   7.13   39503.  2.11   2.33   1.32   8.4   -3.52  -38.01   -5.93   12.18   -0.37   -0.15   414
1981  36  7 45  36  7 45 50 50   2   1   0   -122      7  0.01     30    6.06    0.40    0.07   -5.96    1.03   -5.87    0.00    1.00   384.9  -384.5   -18.1     3.4   7.13   39503.  2.11   2.26   1.36   8.5   -3.52  -38.01   -5.93   12.22   -0.45   -0.08   400
1981  36  7 46  36  7 46 50 50   2   1   0   -100      6  0.01     38    6.04    0.62    0.41   -5.98    1.37   -5.84    0.01    0.05   380.3  -380.1   -13.3     2.0   6.87   37534.  1.99   2.22   1.30   8.3   -3.51  -38.01   -5.94   12.26   -0.52   -0.07   386
1981  36  7 51  36  7 51 50 50   1   1   0     63      0  0.00     23    6.08    0.63    0.03   -6.04    0.98   -5.96    0.00    0.00   378.3  -378.1   -11.2     5.3   7.13   38842.  2.04   2.25   1.34   8.3   -3.49  -38.01   -5.95   12.20   -0.61   -0.18   397
1981  36  7 54  36  7 54 50 50   2   1   0    192      3  0.00 999999    6.03    1.67    0.42   -5.75    1.31   -5.61    0.03    0.29   376.3  -376.1    -9.2     6.6   7.38   44274.  2.09   2.11   1.46   8.5   -3.49  -38.01   -5.96   12.20   -0.69   -0.19   402
1981  36  7 56  36  7 56 50 50  12   3   0    178    122  0.11    104    6.07    2.47    1.80   -5.14    2.57   -4.80    0.03    1.02   370.8  -370.7    -0.8     9.2   7.21   32607.  1.98   1.78   1.31   8.2   -3.46  -38.01   -5.98   12.37   -0.93   -0.31   418
1981  36  7 57  36  7 57 50 50   6   1   0     88      1  0.00    150    5.93    2.86    3.09   -4.15    3.69   -3.62    0.02    0.37   370.3  -369.9     3.2    16.8   6.96   27256.  1.91   1.34   1.28   8.2   -3.45  -38.02   -5.98   12.49   -1.24   -0.39   422
1981  36  7 58  36  7 58 50 50   4   1   0     91      2  0.00     57    6.01    2.50    3.31   -4.29    3.93   -3.73    0.05    0.30   369.5  -369.3    12.9     3.2   7.71   28103.  2.11   1.38   1.39   8.5   -3.43  -38.02   -5.99   12.35   -1.39   -0.23   426
1981  36  7 59  36  7 59 50 50   5   1   0    101      2  0.00     49    6.03    1.70    2.56   -5.15    3.32   -4.70    0.04    0.17   373.6  -372.2     9.1    30.6   7.38   34669.  2.06   1.76   1.38   8.4   -3.43  -38.02   -6.00   12.22   -1.31   -0.83   424
1981  36  8  0  36  8  0 50 50   4   1   0    107      1  0.00     54    5.67    0.82    1.76   -5.16    2.53   -4.83    0.26    0.95   373.5  -371.8    10.4    34.5   7.63   37211.  2.13   1.80   1.63   9.1   -3.42  -38.02   -6.00   12.16   -1.30   -1.08   434
1981  36  8  1  36  8  1 50 50   7   2   0    103     10  0.02     63    5.28    1.15    1.28   -4.87    2.00   -4.62    0.10    0.99   365.7  -364.9    18.5    14.9   7.23   33692.  1.93   1.69   1.75   9.3   -3.41  -38.02   -6.01   12.29   -1.53   -0.67   441
1981  36  8  2  36  8  2 50 50   7   1   0     74     35  0.05     89    4.92    0.60    0.31   -4.68    1.01   -4.58    0.31    1.24   371.2  -370.7    12.9    13.6   7.88   44274.  2.17   1.70   2.34  10.6   -3.40  -38.02   -6.02   12.22   -1.24   -0.45   443
1981  36  8  3  36  8  3 50 50   3   2   0    111      1  0.00     23    5.35    0.48    0.81   -5.22    1.59   -5.04    0.25    0.60   374.7  -374.3    -1.7    13.2   7.94   51364.  2.23   1.89   2.07   9.9   -3.39  -38.02   -6.02   12.11   -1.16   -0.45   448
1981  36  8  4  36  8  4 50 50   7   2   0     93     25  0.04     77    4.62   -0.46   -0.01   -4.26    0.63   -4.21    0.55    1.69   381.4  -380.1    11.0    28.4   6.93   62742.  2.02   1.61   2.58  10.9   -3.38  -38.03   -6.03   12.36   -1.18   -0.80   439
1981  36  8  9  36  8  9 50 50  13   1  38    -58     52  0.09     98    6.97   -1.35   -3.27   -5.98   -2.36   -6.40    0.07    0.43   383.2  -382.4   -22.7     8.0   6.45   28388.  1.89   2.45   0.87   7.0   -3.33  -38.03   -6.06   12.45   -0.31   -0.22   369
1981  36  8 11  36  8 11 50 50   6   1 100   -136      3  0.01     73    6.84   -1.08   -2.08   -6.41   -1.12   -6.64    0.04    0.23   381.9  -381.7   -13.3     1.3   6.20   30418.  1.81   2.54   0.88   7.0   -3.28  -38.04   -6.09   12.44   -0.50   -0.07   349
1981  36  8 12  36  8 12 50 50   6   1 100   -151      4  0.01     75    6.95   -1.13   -2.21   -6.48   -1.24   -6.73    0.06    0.26   381.9  -381.7   -13.3     1.3   6.20   30418.  1.81   2.57   0.85   6.8   -3.28  -38.04   -6.09   12.47   -0.47    0.01   344
1981  36  8 13  36  8 13 50 50   6   1 100   -166      3  0.01     75    7.12   -1.35   -2.38   -6.57   -1.40   -6.85    0.04    0.09   383.5  -382.9   -21.4    -5.4   5.94   21917.  1.75   2.63   0.73   6.6   -3.25  -38.04   -6.11   12.50   -0.34    0.12   338
1981  36  8 14  36  8 14 50 50   5   1 100   -180      3  0.01     74    7.15   -1.36   -2.26   -6.64   -1.28   -6.90    0.02    0.11   383.5  -382.9   -21.4    -5.4   5.94   21917.  1.75   2.65   0.73   6.5   -3.25  -38.04   -6.11   12.54   -0.30    0.09   363
1981  36  8 15  36  8 15 50 50   5   1 100   -193      4  0.01     73    7.18   -1.27   -2.22   -6.70   -1.23   -6.95    0.03    0.07   385.6  -385.1   -18.2     8.1   5.60   21413.  1.67   2.68   0.68   6.4   -3.24  -38.05   -6.12   12.60   -0.36   -0.20   369
1981  36  8 35  36  8 35 50 50   6   1 100   -233      4  0.01     77    7.52   -1.31   -1.97   -7.14   -1.00   -7.34    0.05    0.11   384.9  -384.0   -24.2     8.7   7.13   28961.  2.11   2.83   0.83   6.8   -3.05  -38.07   -6.25   12.02   -0.17   -0.36   341
1981  36  8 38  36  8 38 50 50   6   1 100   -271      3  0.01     71    7.65   -1.90   -2.01   -7.13   -1.05   -7.33    0.03    0.18   392.7  -391.7   -26.0    11.6   7.21   44624.  2.22   2.88   0.89   6.9   -3.02  -38.08   -6.27   11.95   -0.12   -0.34   438
1981  36  8 39  36  8 39 50 50   6   1 100   -287      4  0.01     75    7.67   -1.93   -2.10   -7.11   -1.15   -7.32    0.08    0.18   392.7  -391.7   -26.0    11.6   7.21   44624.  2.22   2.87   0.88   6.9   -3.02  -38.08   -6.27   11.96   -0.11   -0.31   465
1981  36  8 52  36  8 52 50 50   4   1 100   -370      3  0.01 999999    7.68   -1.44   -1.92   -6.97   -1.03   -7.16    0.18    2.06   388.2  -386.4   -29.1    23.0   7.96   31906.  2.40   2.78   0.90   7.1   -2.88  -38.09   -6.36   11.85   -0.08   -0.57   430
1981  36  8 55  36  8 55 50 50   6   1 100   -428      3  0.01     79    7.62   -0.87   -2.85   -6.99   -1.96   -7.29    0.05    0.44   384.9  -383.5   -26.1    20.1   7.29   30713.  2.16   2.81   0.83   6.8   -2.85  -38.09   -6.38   12.00   -0.11   -0.61   491
1981  36 20 20  36 20 20 50 50   9   1   0   -738     96  0.14    124    8.23    4.64   -6.03   -0.10   -5.36   -2.76    0.50    2.94   457.4  -457.2     7.2    10.4   5.99  195964.  2.51   1.26   1.19   6.8    3.36  -38.00  -10.30   12.66   -1.06   -0.33   294
1981  36 20 24  36 20 24 50 50   4   1   0   -701      4  0.00     62    8.98    4.48   -7.47    2.07   -7.61   -1.47    0.74    0.85   444.9  -444.2    16.3    18.6   5.78  195811.  2.29   0.65   0.97   6.0    3.41  -38.00  -10.32   13.07   -1.31   -0.51   285
1981  36 20 25  36 20 25 50 50   7   2   0   -740     16  0.02     98    9.61    4.52   -8.11    2.26   -8.27   -1.59    0.11    0.68   446.9  -444.8    30.5    30.7   5.91  259528.  2.36   0.71   1.03   5.7    3.42  -38.00  -10.33   13.10   -1.59   -0.72   321
1981  36 20 26  36 20 26 50 50   6   1   0   -739     10  0.03     59    9.49    3.50   -8.47    1.90   -8.43   -2.08    0.15    1.20   446.5  -446.4     8.6     3.1   5.59  215663.  2.23   0.93   0.89   5.6    3.43  -37.99  -10.34   13.21   -1.19   -0.16   298
1981  36 20 27  36 20 27 50 50   8   2   0   -761     29  0.03     82    9.31    3.75   -8.36    0.84   -7.86   -2.98    0.17    1.22   453.3  -453.2     4.2    -7.6   5.84  261002.  2.40   1.35   1.09   5.9    3.44  -37.99  -10.34   13.02   -0.98    0.16   321
1981  36 20 33  36 20 33 50 50   5   1  60   -683     15  0.02     77    9.00    2.81   -7.95    2.75   -8.34   -1.12    0.13    1.30   467.5  -467.0     2.4    21.2   4.90  208012.  2.14   0.52   0.85   5.7    3.48  -37.99  -10.36   13.23   -0.93   -0.52   509
1981  36 20 34  36 20 34 50 50   2   1 100   -656     12  0.02     32    9.01    2.87   -7.92    2.80   -8.33   -1.06    0.02    0.33   467.5  -467.0     2.4    21.2   4.90  208012.  2.14   0.50   0.84   5.7    3.48  -37.99  -10.36   13.25   -0.94   -0.61   494
1981  36 20 36  36 20 36 50 50   2   1 100   -583     12  0.02     21    8.96    2.79   -7.68    3.60   -8.48   -0.25    0.03    0.30   463.1  -462.6     5.7    21.8   4.90  197120.  2.10   0.12   0.83   5.7    3.49  -37.98  -10.37   13.28   -1.01   -0.63   403
1981  36 20 39  36 20 39 50 50   2   1 100   -471      7  0.02     20    8.82    2.28   -7.63    3.68   -8.47   -0.17    0.01    0.41   476.1  -475.2     6.6    29.1   4.66  200723.  2.11   0.08   0.82   5.8    3.50  -37.98  -10.38   13.30   -0.95   -0.75   376
1981  36 20 41  36 20 41 50 50   3   1 100   -412      8  0.02     30    8.77    2.71   -7.92    2.50   -8.19   -1.36    0.04    0.50   468.3  -468.0    -9.8    12.3   4.42  199279.  1.94   0.64   0.78   5.6    3.51  -37.98  -10.38   13.48   -0.61   -0.37   354
1981  36 20 43  36 20 43 50 50   8   1  75   -384     25  0.06     60    8.81    2.25   -7.99    2.74   -8.36   -1.19    0.06    0.88   470.3  -470.2     0.0    10.7   4.98  241430.  2.20   0.56   0.99   6.0    3.52  -37.98  -10.39   13.31   -0.73   -0.08   302
1981  36 20 44  36 20 44 50 50   6   1  67   -417     20  0.05     92    8.78    2.59   -8.16    1.74   -8.06   -2.16    0.05    0.60   455.2  -454.9   -11.1   -10.3   4.88  257161.  2.02   0.98   1.02   5.7    3.53  -37.97  -10.40   13.42   -0.64    0.20   318
1981  36 20 46  36 20 46 50 50   5   1  40   -424     10  0.03     65    8.86    3.40   -8.03    1.24   -7.71   -2.55    0.12    0.82   466.3  -466.0    13.8     9.8   5.06  282026.  2.20   1.19   1.10   5.9    3.55  -37.97  -10.41   13.14   -1.06   -0.10   305
1981  36 20 47  36 20 47 50 50   1   1 100   -409      0  0.00     45    9.16    3.08   -8.59    0.50   -7.87   -3.47    0.00    0.00   457.6  -457.2   -10.4   -16.0   5.82  329905.  2.44   1.59   1.32   6.0    3.56  -37.97  -10.41   13.05   -0.68    0.31   299
1981  36 20 48  36 20 48 50 50   4   1  75   -382      0  0.01     32    8.83    2.10   -8.42   -0.08   -7.46   -3.91    0.25    1.11   457.6  -457.2   -10.4   -16.0   5.82  329905.  2.44   1.79   1.42   6.3    3.56  -37.97  -10.41   13.00   -0.60    0.37   308
